uid,sample,gender,age_2,dwelling,industry,social_involve_1,social_involve_2,social_involve_3,social_involve_4,social_involve_5,social_involve_6,social_involve_7,social_involve_8,social_involve_9,volunteerdonate_1,volunteerdonate_2,volunteerdonate_3,volunteerdonate_4,volunteerdonate_5,volunteerdonate_6,volunteerdonate_7,volunteerdonate_8,volunteerdonate_9,volunteerdonate_freq,volunteerdonate_metd,snetwork_ethnicity,snetwork_nationality,snetwork_religion,snetwork_income,snetwork_education,snetwork_sorientation,close_sg_friends,sinteract_meal,sinteract_invitedfriend,sinteract_beeninvited,sinteract_participated,support_immedfam,support_extfam,support_worksch,support_friends,os_exp_1,os_exp_2,os_exp_3,os_exp_4,time_os,study_os,work_os,travel_os,migrate_os,retire_os,outcome_connection,outcome_future,pillarbeh_1,pillarbeh_2,pillarbeh_3,pillarbeh_4,pillarbeh_5,pillarbeh_6,pillarbeh_7,pillarbeh_8,pillarbeh_9,pillarbeh_10,pillarbeh_11,pillarbeh_12,pillarbeh_13,pillarbeh_14,pillarbeh_15,pillarvals_1,pillarvals_2,pillarvals_3,pillarvals_4,pillarvals_5,pillarvals_6,pillarvals_7,pillarvals_8,pillarvals_9,pillarvals_12,pillarvals_13,pillarvals_14,pillarvals_21,pillarvals_22,pillarvals_23,pillarvals_24,pillarvals_25,pillarvals_26,pillarvals_29,pillarvals_30,pillarvals_31,pillarvals_32,pillarvals_33,online_news,online_sm,online_shop,online_areasinterest,online_games,online_update,online_sharemedia,online_watchmedia,marital_stats,children,age_youngestchild,hh_grandparents,hh_parents,hh_siblings,hh_spouse,hh_children,hh_relatives,hh_helper,hh_mates,hh_employer_their_family,hh_grandchildren,hh_other,hh_none,highest_ed,institution_deg,occupation,mhi,mpi,weight
98,Resident (Citizen/PR),Male,25-34 years old,HDB 3 room,"Professional, Scientific and Technical Activities",Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1-2 times a year,Both,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,0 - Not at all,0 - Not at all,3,-,-,-,-,-,-,-,-,-,-,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,2,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,Daily,Daily,A few times a week,A few times a week,Daily,A few times a month,A few times a month,Daily,Single,No,-,No,No,No,No,No,No,No,Yes,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","S$3,001-S$4,000","S$3,001-S$4,000",0.757646803
128,Resident (Citizen/PR),Female,55-64 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,10 - A lot,1,0 - Not at all,9,-,-,-,-,-,-,-,-,-,-,9,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,1,10 - Strongly agree,1,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,9,1,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,6,10 - Strongly agree,5,6,6,10 - Strongly agree,6,7,9,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,9,10 - Strongly agree,A few times a week,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,A few times a month,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore based university / institution (via online learning),Home maker,"S$4,001-S$5,000",-,0.817909423
132,Resident (Citizen/PR),Female,20-24 years old,HDB 3 room,Manufacturing,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Less frequently,Both,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,6,7,7,-,-,-,-,-,-,-,-,-,-,8,7,6,7,7,7,5,6,7,6,5,7,8,6,6,7,6,7,7,7,7,6,7,6,7,6,7,6,8,7,6,6,8,7,7,7,7,7,7,7,Daily,A few times a week,A few times a month,A few times a week,Less frequently,Less frequently,A few times a month,A few times a week,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","S$8,001-S$9,000","S$4,001-S$5,000",0.679537427
151,Resident (Citizen/PR),Male,45-54 years old,Private apartment / Condominium,Manufacturing,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,1-2 times a year,Formally i.e. through an organization or organized group,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,10 - A lot,10 - A lot,-,-,-,-,-,-,-,-,-,-,9,9,10 - Strongly agree,10 - Strongly agree,8,8,8,8,10 - Strongly agree,8,1,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,0 - Do not agree at all,7,8,7,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,Daily,Less frequently,A few times a week,A few times a week,Less frequently,Less frequently,Less frequently,A few times a month,Married,Yes,1 year,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore based university / institution (via online learning),Middle management (managerial),"$11,001-$12,000","$11,001-$12,000",0.806980321
159,Resident (Citizen/PR),Female,45-54 years old,HDB 4 room,Cleaning services,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6,6,6,6,-,-,-,-,-,-,-,-,-,-,8,6,8,7,8,4,7,7,6,7,4,7,8,7,7,5,6,8,8,7,5,7,6,5,6,6,7,6,7,7,7,6,7,7,8,8,7,6,7,8,A few times a week,Less frequently,A few times a month,A few times a week,Less frequently,Less frequently,Less frequently,A few times a week,Married,Yes,14,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,Executives / officers,"S$7,001-S$8,000","S$3,001-S$4,000",0.978762877
162,Resident (Citizen/PR),Female,35-44 years old,Private apartment / Condominium,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,10 - A lot,5,1,8,-,-,-,-,-,-,-,-,-,-,8,8,10 - Strongly agree,8,7,7,6,8,5,6,1,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,8,5,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,5,8,Daily,Less frequently,Daily,Daily,Less frequently,A few times a week,A few times a week,A few times a week,Married,Yes,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Unemployed,Refuse,-,0.87932326
169,Resident (Citizen/PR),Female,16-19 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,1-2 times a year,Both,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,5,9,10 - A lot,-,-,-,-,-,-,-,-,-,-,8,9,8,10 - Strongly agree,8,5,4,5,7,7,4,9,6,6,5,8,10 - Strongly agree,8,8,10 - Strongly agree,6,8,8,5,7,10 - Strongly agree,6,8,10 - Strongly agree,8,7,9,8,9,10 - Strongly agree,9,7,9,7,8,A few times a week,Daily,A few times a month,Daily,Less frequently,A few times a month,A few times a month,A few times a week,Single,No,-,Yes,No,No,No,No,No,No,No,No,No,No,No,Primary school / PSLE,-,Student,"S$3,001-S$4,000",-,0.775305876
467,Resident (Citizen/PR),Female,35-44 years old,Private apartment / Condominium,Not currently working,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,8,6,0 - Not at all,7,-,-,-,-,-,-,-,-,-,-,5,4,7,9,5,5,3,6,4,4,4,6,8,5,3,5,7,8,8,6,4,6,7,5,7,6,7,5,6,7,7,6,6,9,7,8,5,6,7,6,A few times a week,Daily,A few times a month,A few times a week,Less frequently,A few times a month,Daily,A few times a week,Married,Yes,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"$12,001-$13,000",-,0.748368542
175,Resident (Citizen/PR),Female,35-44 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Once a month,Formally i.e. through an organization or organized group,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,9,8,9,-,-,-,-,-,-,-,-,-,-,7,8,9,7,6,6,6,7,6,9,9,9,6,7,9,9,8,9,8,6,8,8,7,7,9,8,9,6,6,9,8,9,6,6,6,9,7,6,8,6,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,Married,Yes,5,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$3,001-S$4,000",-,0.972978665
186,Resident (Citizen/PR),Female,25-34 years old,HDB 4 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Less frequently,Informally i.e. not through any organization or organized group,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,8,9,9,-,-,-,-,-,-,-,-,-,-,8,6,9,5,6,6,6,6,6,6,9,6,6,6,6,6,7,6,9,9,6,6,6,6,6,5,6,6,6,6,6,6,6,6,2,7,6,6,6,6,A few times a week,Daily,A few times a month,Less frequently,A few times a month,Less frequently,Less frequently,A few times a week,Married,Yes,2,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$5,001-S$6,000","S$2,001-S$3,000",0.803732011
191,Resident (Citizen/PR),Female,25-34 years old,HDB 5 room / Executive,Not currently working,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Once a week or more,Both,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10 - A lot,6,7,9,-,-,-,-,-,-,-,-,-,-,8,9,9,9,9,6,10 - Strongly agree,8,9,7,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,8,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,8,7,9,10 - Strongly agree,8,8,9,8,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,Daily,Less frequently,A few times a month,Daily,Less frequently,A few times a month,Less frequently,A few times a month,Married,Yes,5,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$8,001-S$9,000",-,1.21855292
207,Resident (Citizen/PR),Female,65-75 years old,HDB 1-2 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Less frequently,Informally i.e. not through any organization or organized group,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5,3,0 - Not at all,5,-,-,-,-,-,-,-,-,-,-,7,7,6,7,6,7,6,8,6,6,7,6,6,6,7,7,7,8,8,8,6,7,8,7,7,7,8,7,7,6,6,7,7,7,6,7,7,7,6,7,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Divorced / Widowed / Separated,Yes,More than 20 years old,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Primary school / PSLE,-,Unemployed,"Below S$1,000",-,0.670811305
208,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Health and social services,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,1-2 times a year,Both,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,6,6,7,-,-,-,-,-,-,-,-,-,-,8,8,8,7,9,9,7,7,8,6,8,7,8,9,7,8,8,7,6,7,8,7,6,7,7,7,8,8,8,7,8,8,7,7,8,8,7,7,8,8,A few times a week,A few times a week,Less frequently,A few times a week,Less frequently,A few times a week,A few times a week,A few times a week,Married,Yes,4,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","S$9,001-S$10,000","S$4,001-S$5,000",0.772323495
211,Resident (Citizen/PR),Female,45-54 years old,HDB 3 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Less frequently,Informally i.e. not through any organization or organized group,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,6,6,6,-,-,-,-,-,-,-,-,-,-,8,7,6,6,8,7,7,7,7,7,8,7,6,7,6,6,7,7,7,8,8,8,7,6,7,6,7,6,6,7,6,7,6,7,6,6,7,7,6,7,A few times a week,A few times a week,A few times a month,A few times a week,A few times a month,A few times a month,A few times a week,A few times a week,Married,Yes,12,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$5,001-S$6,000","S$1,000-2,000",0.754397211
285,Resident (Citizen/PR),Male,20-24 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,7,8,10 - A lot,-,-,-,-,-,-,-,-,-,-,10 - Very strong,9,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,5,0 - Do not agree at all,4,5,0 - Do not agree at all,0 - Do not agree at all,10 - Strongly agree,5,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,8,6,9,8,5,0 - Do not agree at all,8,0 - Do not agree at all,5,6,6,10 - Strongly agree,6,10 - Strongly agree,9,5,6,5,7,7,10 - Strongly agree,10 - Strongly agree,Daily,Daily,A few times a month,Daily,A few times a week,Less frequently,Less frequently,Daily,Single,No,-,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Student,Refuse,-,0.781011922
